2024-04-08 16:47:45.120 [info] Log level: Info
2024-04-08 16:47:45.120 [info] Validating found git in: "git"
2024-04-08 16:47:45.121 [info] Using git "2.39.2" from "git"
2024-04-08 16:47:45.121 [info] > git rev-parse --show-toplevel [25ms]
2024-04-08 16:47:45.121 [info] > git rev-parse --show-toplevel [9ms]
2024-04-08 16:47:45.136 [info] > git rev-parse --show-toplevel [6ms]
2024-04-08 16:47:45.163 [info] > git rev-parse --show-toplevel [7ms]
2024-04-08 16:47:45.184 [info] > git rev-parse --show-toplevel [8ms]
2024-04-08 16:47:45.202 [info] > git rev-parse --show-toplevel [7ms]
2024-04-08 16:47:45.367 [info] > git rev-parse --show-toplevel [153ms]
2024-04-08 16:47:45.402 [info] > git rev-parse --show-toplevel [17ms]
2024-04-08 16:47:45.435 [info] > git rev-parse --show-toplevel [14ms]
